id,member_id,loan_status,loan_amnt,term,int_rate,verification_status,purpose,policy_code,application_type,home_ownership,annual_inc,addr_state,dti,delinq_2yrs,mths_since_last_delinq,total_acc,inq_last_6mths,mths_since_last_record,open_acc,pub_rec,collections_12_mths_ex_med,acc_now_delinq,default
1029273,1258631,Fully Paid,1925, 36 months,9.91,Not Verified,other,1,INDIVIDUAL,OWN,69600,WA,4.79,0,33,13,2,115,5,1,0,0,non-default
1029186,1258538,Fully Paid,1000, 36 months,12.69,Verified,other,1,INDIVIDUAL,MORTGAGE,70000,IL,17.13,1,23,48,2,96,11,1,0,0,non-default
1028649,1258004,Fully Paid,7000, 36 months,15.96,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,39000,WI,11.94,0,37,16,3,63,8,1,0,0,non-default
1026962,1256149,Charged Off,8000, 36 months,14.65,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,33000,NM,18.36,1,19,17,2,87,7,1,0,0,default
1025585,1254746,Fully Paid,4000, 36 months,14.27,Source Verified,car,1,INDIVIDUAL,MORTGAGE,75000,TX,1.84,1,18,17,1,86,4,1,0,0,non-default
1024480,1253604,Charged Off,6000, 36 months,10.65,Not Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,126000,NY,14.33,1,6,21,0,111,16,1,0,0,default
1022579,1251359,Fully Paid,1450, 36 months,12.42,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,36000,CA,21.53,0,33,11,0,103,7,1,0,0,non-default
1022116,1250902,Fully Paid,3000, 36 months,12.69,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,56000,AZ,8.19,1,11,8,0,99,6,1,0,0,non-default
1020660,1249452,Fully Paid,5325, 36 months,14.27,Verified,debt_consolidation,1,INDIVIDUAL,RENT,32000,AZ,22.84,1,21,36,0,113,14,1,0,0,non-default
1019261,1247939,Charged Off,6250, 36 months,17.27,Verified,other,1,INDIVIDUAL,MORTGAGE,28000,OH,13.76,0,41,15,0,101,2,1,0,0,default
1017211,1245169,Fully Paid,2500, 36 months,11.71,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,67000,VA,17.3,0,82,41,1,91,16,1,0,0,non-default
1015919,1243612,Fully Paid,2500, 36 months,14.65,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,48000,RI,14.68,0,75,9,1,76,7,1,0,0,non-default
1015990,1243471,Charged Off,20000, 60 months,22.35,Verified,debt_consolidation,1,INDIVIDUAL,RENT,73000,VA,14.1,0,78,14,0,89,4,1,0,0,default
1015628,1243095,Charged Off,4950, 36 months,11.71,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,19200,WI,22.63,0,39,33,0,61,12,2,0,0,default
1015063,1242491,Fully Paid,3000, 36 months,16.29,Verified,vacation,1,INDIVIDUAL,RENT,16080,CA,7.09,0,26,10,1,95,4,1,0,0,non-default
1012242,1239357,Fully Paid,10000, 60 months,17.27,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,46500,AZ,14.71,0,49,17,1,113,11,1,0,0,non-default
1013197,1240552,Fully Paid,6000, 36 months,15.27,Source Verified,small_business,1,INDIVIDUAL,MORTGAGE,35900,VA,15.38,0,47,19,3,28,6,1,0,0,non-default
1007417,1233809,Fully Paid,8000, 36 months,14.27,Not Verified,credit_card,1,INDIVIDUAL,MORTGAGE,97000,IL,13.77,0,70,40,2,95,13,1,0,0,non-default
1011478,1238554,Fully Paid,3500, 36 months,9.91,Verified,car,1,INDIVIDUAL,MORTGAGE,42000,FL,23.2,0,40,20,1,98,11,1,0,0,non-default
1009946,1236925,Charged Off,12000, 60 months,15.96,Verified,other,1,INDIVIDUAL,RENT,48744,HI,22.23,0,63,19,1,103,8,1,0,0,default
1009214,1235946,Fully Paid,12000, 36 months,9.91,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,63150,IL,6.69,0,70,15,0,86,6,1,0,0,non-default
1002861,1229142,Fully Paid,20000, 36 months,15.96,Verified,credit_card,1,INDIVIDUAL,MORTGAGE,78000,CA,10.52,0,31,17,2,94,4,1,0,0,non-default
1007317,1233924,Fully Paid,9600, 36 months,9.91,Not Verified,wedding,1,INDIVIDUAL,RENT,59000,CA,13,0,35,15,0,110,6,1,0,0,non-default
1005939,1232513,Charged Off,12600, 36 months,12.42,Verified,home_improvement,1,INDIVIDUAL,OWN,38000,AR,23.73,0,60,15,1,53,10,1,0,0,default
1006364,1232779,Charged Off,23200, 60 months,23.52,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,85000,TX,7.89,0,46,22,1,114,10,1,0,0,default
1002291,1228520,Charged Off,20000, 60 months,22.06,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,79864,VA,11.14,0,46,27,0,111,7,1,0,0,default
862488,1075528,Fully Paid,8000, 36 months,18.64,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,114000,CA,11.36,0,74,57,3,112,27,1,0,0,non-default
1001484,1227075,Charged Off,21725, 60 months,20.89,Verified,debt_consolidation,1,INDIVIDUAL,OWN,40000,MI,15.12,3,13,25,2,111,9,1,0,0,default
999176,1224531,Fully Paid,10000, 36 months,8.9,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,48000,PA,16.38,0,62,28,0,113,10,1,0,0,non-default
1001516,1227313,Fully Paid,2500, 36 months,8.9,Not Verified,other,1,INDIVIDUAL,RENT,31000,MO,22.49,0,26,40,3,93,7,1,0,0,non-default
1000242,1225464,Fully Paid,15000, 60 months,19.03,Verified,small_business,1,INDIVIDUAL,MORTGAGE,86945,IL,10.72,1,5,18,3,85,6,1,0,0,non-default
999981,1225586,Fully Paid,5000, 36 months,12.69,Not Verified,major_purchase,1,INDIVIDUAL,RENT,39000,CA,12.65,1,18,11,1,105,5,1,0,0,non-default
973424,1195423,Charged Off,8000, 36 months,8.9,Source Verified,small_business,1,INDIVIDUAL,RENT,27000,WA,9.24,0,49,42,0,104,17,1,0,0,default
999292,1224661,Fully Paid,6800, 36 months,7.51,Source Verified,small_business,1,INDIVIDUAL,RENT,60000,TX,21.74,0,29,21,0,111,8,1,0,0,non-default
997606,1222718,Fully Paid,3000, 36 months,8.9,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,25000,MI,4.08,0,31,15,1,107,6,1,0,0,non-default
996662,1221310,Fully Paid,5000, 36 months,7.9,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,34348.8,UT,2.52,0,31,14,0,103,5,1,0,0,non-default
996437,1207167,Charged Off,4200, 36 months,9.91,Verified,credit_card,1,INDIVIDUAL,RENT,28080,FL,12.61,0,54,14,0,98,10,1,0,0,default
996150,1220973,Charged Off,3700, 36 months,9.91,Not Verified,moving,1,INDIVIDUAL,RENT,35000,HI,16.49,0,24,16,0,106,8,1,0,0,default
992473,1216977,Fully Paid,4800, 36 months,11.71,Source Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,163232,TX,5.2,0,58,24,1,97,13,1,0,0,non-default
992186,1216280,Fully Paid,5000, 36 months,12.69,Not Verified,debt_consolidation,1,INDIVIDUAL,OWN,43200,NJ,22.81,0,25,32,0,116,15,1,0,0,non-default
991921,1216203,Fully Paid,16000, 36 months,13.49,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,107000,CA,5.35,0,43,19,0,90,10,1,0,0,non-default
991279,1215447,Fully Paid,2000, 36 months,14.65,Not Verified,other,1,INDIVIDUAL,RENT,31200,NY,7.19,1,9,13,1,90,5,1,0,0,non-default
990688,1214679,Charged Off,20000, 60 months,13.49,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,53000,NV,21.98,0,40,33,0,113,17,1,0,0,default
990388,1214364,Fully Paid,21000, 36 months,12.69,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,200000,MN,7.92,0,78,29,2,82,11,1,0,0,non-default
990357,1214329,Fully Paid,9000, 36 months,12.69,Verified,debt_consolidation,1,INDIVIDUAL,RENT,33000,PA,23.38,0,43,33,0,115,17,1,0,0,non-default
982007,1205193,Fully Paid,10625, 36 months,12.42,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,57600,IL,15.06,0,48,29,1,85,11,1,0,0,non-default
989786,1213555,Charged Off,10400, 60 months,19.03,Verified,car,1,INDIVIDUAL,RENT,27600,OH,10.74,1,21,15,0,21,13,1,0,0,default
989253,1213209,Charged Off,24000, 60 months,20.89,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,115000,IL,4.01,1,10,25,1,94,3,1,0,0,default
989417,1213373,Fully Paid,11000, 36 months,10.65,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,30000,MI,13.8,0,38,19,0,62,11,1,0,0,non-default
987930,1210846,Fully Paid,4000, 36 months,8.9,Source Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,112000,AK,3.19,0,72,12,0,44,5,2,0,0,non-default
986404,1210365,Fully Paid,14500, 36 months,10.65,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,52000,MD,20.7,0,34,21,0,108,16,1,0,0,non-default
970243,1191489,Fully Paid,9000, 36 months,15.27,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,68000,CA,3.41,2,7,17,1,104,6,1,0,0,non-default
972620,1194579,Fully Paid,6400, 36 months,10.65,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,76000,MD,22.52,0,66,22,1,94,11,1,0,0,non-default
894043,1111205,Fully Paid,9000, 60 months,18.25,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,84996,VA,15.36,0,68,29,3,67,23,1,0,0,non-default
979814,1202968,Fully Paid,19000, 60 months,19.91,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,58000,VA,7.03,2,8,29,1,102,3,1,0,0,non-default
979157,1202259,Fully Paid,1600, 60 months,20.3,Not Verified,other,1,INDIVIDUAL,RENT,18000,OH,0,0,34,8,1,33,2,1,0,0,non-default
979102,1202196,Fully Paid,4200, 60 months,14.27,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,40000,CA,19.62,0,38,20,0,119,12,1,0,0,non-default
978485,1201530,Fully Paid,22250, 60 months,18.25,Verified,house,1,INDIVIDUAL,MORTGAGE,54150,DE,18.19,0,26,24,2,42,12,1,0,0,non-default
977988,1200800,Fully Paid,21000, 60 months,19.91,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,110000,WA,11.28,0,30,21,1,100,11,1,0,0,non-default
977591,1200386,Fully Paid,6300, 36 months,10.65,Verified,debt_consolidation,1,INDIVIDUAL,RENT,83000,CT,9.57,0,75,6,2,109,5,1,0,0,non-default
977294,1200075,Fully Paid,12000, 60 months,22.35,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,86729.5,CA,23,0,67,17,0,76,12,1,0,0,non-default
976873,1199635,Fully Paid,2000, 36 months,10.65,Source Verified,small_business,1,INDIVIDUAL,RENT,12000,IL,14.1,0,42,15,1,102,9,1,0,0,non-default
973800,1195817,Fully Paid,2500, 36 months,11.71,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,48000,FL,2.4,1,11,13,1,88,5,1,0,0,non-default
890763,1107486,Fully Paid,4000, 36 months,11.71,Source Verified,house,1,INDIVIDUAL,RENT,77250,NJ,8.9,0,27,12,1,66,8,1,0,0,non-default
974285,1196543,Fully Paid,1200, 36 months,8.9,Not Verified,vacation,1,INDIVIDUAL,RENT,85000,NY,9.15,0,46,15,2,100,9,1,0,0,non-default
878776,1093599,Charged Off,6000, 36 months,10.65,Not Verified,credit_card,1,INDIVIDUAL,MORTGAGE,59000,IL,12.33,0,56,27,0,105,14,1,0,0,default
972414,1194369,Charged Off,16500, 60 months,18.25,Verified,debt_consolidation,1,INDIVIDUAL,RENT,50000,OH,17.64,0,57,16,0,91,9,1,0,0,default
970218,1191463,Fully Paid,9000, 36 months,17.58,Verified,debt_consolidation,1,INDIVIDUAL,RENT,30000,NC,7.56,3,10,14,0,114,4,1,0,0,non-default
971514,1193256,Fully Paid,3600, 36 months,10.65,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,76000,OR,10.77,0,44,40,0,97,10,1,0,0,non-default
969259,1190469,Fully Paid,8000, 36 months,15.96,Verified,debt_consolidation,1,INDIVIDUAL,RENT,83200,MA,16.37,0,35,20,1,108,10,1,0,0,non-default
968019,1188963,Fully Paid,5000, 36 months,15.27,Not Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,60000,PA,11.72,1,6,25,3,103,12,1,0,0,non-default
968366,1189325,Fully Paid,11000, 36 months,10.65,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,82500,CA,15.19,0,45,23,0,88,13,1,0,0,non-default
968370,1189329,Charged Off,1000, 36 months,13.49,Verified,medical,1,INDIVIDUAL,RENT,18000,AR,17.6,0,44,20,1,75,6,1,0,0,default
966950,1187853,Fully Paid,8000, 36 months,16.29,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,56888,LA,20.42,1,11,24,2,103,11,1,0,0,non-default
966053,1186708,Fully Paid,5000, 36 months,17.27,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,60000,CA,17.58,0,30,27,0,109,17,1,0,0,non-default
867069,1080603,Fully Paid,5000, 36 months,11.71,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,70000,CA,12.86,1,15,19,1,118,12,1,0,0,non-default
949941,1186168,Fully Paid,14000, 60 months,16.77,Verified,credit_card,1,INDIVIDUAL,MORTGAGE,130000,TX,13.5,1,15,36,2,90,13,1,0,0,non-default
894549,1169146,Fully Paid,4000, 36 months,16.29,Source Verified,other,1,INDIVIDUAL,RENT,175000,HI,0.29,3,13,22,1,110,3,1,0,0,non-default
949793,1142796,Fully Paid,11000, 36 months,16.77,Source Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,58000,TX,14.86,1,17,19,0,58,11,1,0,0,non-default
833376,1042955,Fully Paid,20000, 60 months,18.25,Verified,debt_consolidation,1,INDIVIDUAL,RENT,84000,CA,23.14,0,49,28,0,113,19,1,0,0,non-default
891536,1108332,Fully Paid,1500, 36 months,19.03,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,64000,RI,16.76,0,43,49,2,88,29,1,0,0,non-default
891165,1088580,Fully Paid,13800, 36 months,13.49,Verified,other,1,INDIVIDUAL,MORTGAGE,48000,MA,6.6,0,31,15,2,22,5,1,0,0,non-default
889621,1106155,Fully Paid,28000, 36 months,15.96,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,72000,CA,15.35,0,36,30,1,93,15,1,0,0,non-default
889684,1106242,Charged Off,2200, 60 months,19.42,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,63000,CA,11.9,0,58,11,1,107,8,1,0,0,default
874534,1089020,Fully Paid,16600, 60 months,17.58,Source Verified,car,1,INDIVIDUAL,RENT,79968,NY,13.36,0,59,19,0,95,9,1,0,0,non-default
888725,1105184,Fully Paid,10000, 36 months,10.65,Source Verified,vacation,1,INDIVIDUAL,RENT,96000,CA,4.79,0,28,28,2,94,12,1,0,0,non-default
887629,1103813,Fully Paid,1200, 36 months,12.69,Not Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,74000,OH,8.06,0,65,19,3,103,5,1,0,0,non-default
887402,1103555,Charged Off,7000, 36 months,14.65,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,58000,AL,23.52,0,51,57,2,87,20,1,0,0,default
887182,1103313,Fully Paid,4000, 36 months,12.69,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,26000,CA,18.83,0,26,6,0,113,5,1,0,0,non-default
887173,1103203,Fully Paid,4800, 36 months,10.65,Source Verified,credit_card,1,INDIVIDUAL,MORTGAGE,72000,UT,10.22,1,14,35,0,113,12,1,0,0,non-default
879707,1094682,Charged Off,5000, 36 months,14.65,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,24000,MI,12.05,1,19,8,1,110,5,1,0,0,default
886664,1102665,Charged Off,10400, 60 months,17.58,Verified,small_business,1,INDIVIDUAL,RENT,85325,CA,8.93,0,64,11,0,112,8,1,0,0,default
886112,1101849,Fully Paid,10000, 36 months,10.65,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,36588,AZ,8.63,0,28,22,0,97,9,1,0,0,non-default
884858,1100430,Fully Paid,7000, 36 months,6.03,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,44000,MN,17.45,0,77,26,0,110,16,1,0,0,non-default
884068,1099354,Fully Paid,22000, 36 months,12.69,Verified,debt_consolidation,1,INDIVIDUAL,RENT,82600,CO,5.64,0,42,19,0,86,7,1,0,0,non-default
883269,1098523,Fully Paid,15000, 60 months,17.58,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,60000,CT,2.42,0,40,27,0,21,10,1,0,0,non-default
883173,1098426,Charged Off,4750, 36 months,15.27,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,55500,VA,17.04,0,53,26,1,50,9,1,0,0,default
882355,1097577,Charged Off,1000, 36 months,15.27,Source Verified,other,1,INDIVIDUAL,MORTGAGE,32352,CA,10.42,1,5,18,3,117,6,1,0,0,default
882090,1097250,Charged Off,25200, 60 months,20.3,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,86000,PA,14.9,0,80,30,0,76,11,1,0,0,default
880970,1096031,Fully Paid,6000, 36 months,14.65,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,92000,NC,11.18,1,4,28,3,104,17,1,0,0,non-default
879742,1094633,Fully Paid,5600, 36 months,16.77,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,40800,CA,14.76,0,32,18,0,113,11,1,0,0,non-default
879560,1094483,Fully Paid,6000, 36 months,10.65,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,43000,FL,10.69,0,71,12,0,108,4,1,0,0,non-default
879399,1094276,Fully Paid,4800, 36 months,12.42,Not Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,39600,OH,14.45,1,19,23,2,69,7,1,0,0,non-default
879452,1094322,Fully Paid,2000, 36 months,15.27,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,80000,IL,6.82,0,42,17,3,98,7,1,0,0,non-default
878273,1093046,Fully Paid,4000, 36 months,10.59,Not Verified,credit_card,1,INDIVIDUAL,RENT,38400,CA,3.16,0,80,8,1,50,4,1,0,0,non-default
877565,1092322,Fully Paid,2500, 36 months,9.99,Not Verified,other,1,INDIVIDUAL,RENT,53000,PA,14.49,0,62,24,1,91,8,1,0,0,non-default
876722,1091380,Fully Paid,10000, 36 months,13.99,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,62000,NJ,11.19,2,20,23,2,77,11,1,0,0,non-default
876693,1091301,Fully Paid,5500, 36 months,11.99,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,83000,NY,13.4,1,8,16,1,94,6,1,0,0,non-default
876138,1073620,Fully Paid,20000, 60 months,11.99,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,165000,FL,8.39,0,71,31,0,94,8,1,0,0,non-default
875224,1089720,Charged Off,11400, 36 months,10.99,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,58800,NH,10.12,0,75,21,3,99,10,1,0,0,default
871418,1085496,Fully Paid,12000, 60 months,17.49,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,65340,OR,6.94,0,58,42,0,109,8,1,0,0,non-default
874537,1089026,Fully Paid,6000, 36 months,9.99,Verified,credit_card,1,INDIVIDUAL,MORTGAGE,28440,CA,8.57,1,21,22,0,109,8,1,0,0,non-default
839272,1049432,Fully Paid,3375, 60 months,17.99,Not Verified,small_business,1,INDIVIDUAL,OWN,21403.44,AR,24.39,2,10,16,3,96,5,1,0,0,non-default
869761,1083734,Charged Off,2200, 36 months,7.49,Not Verified,credit_card,1,INDIVIDUAL,MORTGAGE,45000,CA,10.98,0,61,15,0,111,9,1,0,0,default
842522,1053205,Fully Paid,3000, 36 months,18.39,Not Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,43000,MI,21.68,0,42,40,3,80,28,1,0,0,non-default
868438,1082144,Charged Off,13000, 36 months,15.99,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,120000,MD,24.8,0,47,22,0,101,9,1,0,0,default
867756,1017596,Charged Off,35000, 60 months,22.48,Verified,small_business,1,INDIVIDUAL,MORTGAGE,110000,TX,1.22,0,63,7,3,49,2,1,0,0,default
867595,1081266,Fully Paid,10000, 36 months,15.99,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,72000,NY,6.53,0,70,14,2,108,8,1,0,0,non-default
858154,1070712,Fully Paid,16800, 36 months,15.62,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,120000,OR,5.48,1,20,9,1,88,5,1,0,0,non-default
864027,1077185,Fully Paid,16000, 60 months,19.69,Verified,debt_consolidation,1,INDIVIDUAL,OWN,55000,IL,22.21,2,8,24,1,100,11,1,0,0,non-default
863062,1062470,Fully Paid,8000, 36 months,21.36,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,79985,IL,3.9,0,61,57,3,58,30,2,0,0,non-default
861878,1074798,Charged Off,10000, 36 months,8.49,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,38400,CA,14.19,1,23,14,0,90,7,1,0,0,default
860287,1073076,Fully Paid,25000, 60 months,18.39,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,99600,MD,5.17,0,69,18,3,69,13,1,0,0,non-default
846152,1057490,Charged Off,5400, 36 months,10.99,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,50000,FL,4.25,2,8,31,0,100,7,1,0,0,default
856675,1069060,Charged Off,4000, 36 months,9.99,Source Verified,other,1,INDIVIDUAL,RENT,58800,CA,24.14,0,73,17,1,94,11,1,0,0,default
856790,1012470,Charged Off,12800, 36 months,14.79,Verified,other,1,INDIVIDUAL,RENT,36000,TX,8.47,1,9,7,3,111,5,1,0,0,default
840579,1050975,Fully Paid,4200, 36 months,15.23,Not Verified,wedding,1,INDIVIDUAL,RENT,21600,IL,4.67,0,72,18,1,85,12,1,0,0,non-default
